Geography,year_built,Median_Income,Median_rent,Estimate..Total.,No_schooling,Nursery_school,Kindergarten,X1st_grade,X2nd.grade,X3rd.grade,X4th.grade,X5th.grade,X6th.grade,X7th.grade,X8th.grade,X9th.grade,X10th.grade,X11th.grade,X12th.grade..no.diploma,Regular.high.school.diploma,GED.or.alternative.credential,Some.college..less.than.1.year,Some.college..1.or.more.years..no.degree,Associate.s.degree,Bachelor.s.degree,Master.s.degree,Professional.school.degree,Doctorate.degree
"Block Group 2, Census Tract 12.06, Champaign County, Illinois",1988,118333,3094,705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,43,82,17,252,136,34,77
"Block Group 3, Census Tract 101, Champaign County, Illinois",1979,46115,,634,0,0,0,0,0,0,0,0,0,0,0,0,15,0,42,170,20,115,107,18,82,40,0,25
"Block Group 2, Census Tract 54.02, Champaign County, Illinois",1971,52955,,604,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,205,23,12,116,32,100,79,11,18
"Block Group 1, Census Tract 105, Champaign County, Illinois",1975,54653,,532,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,255,0,35,54,34,88,31,8,0
"Block Group 5, Census Tract 13.01, Champaign County, Illinois",1978,54750,,686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,150,15,23,129,20,169,92,39,21
"Block Group 5, Census Tract 102.04, Champaign County, Illinois",1972,64891,,740,0,0,0,0,0,0,0,0,0,0,13,0,0,0,19,214,27,57,120,33,117,86,52,2
"Block Group 4, Census Tract 107, Champaign County, Illinois",1978,65673,,586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,47,25,43,113,103,78,0,0
"Block Group 5, Census Tract 107, Champaign County, Illinois",1974,68661,,458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,43,171,49,51,38,0,0
"Block Group 1, Census Tract 107, Champaign County, Illinois",1974,68750,,459,5,0,0,0,0,0,0,0,0,0,4,0,0,2,1,144,51,21,59,41,94,34,0,3
"Block Group 1, Census Tract 10, Champaign County, Illinois",1947,70444,,424,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,126,19,0,34,89,59,53,33,0
"Block Group 3, Census Tract 10, Champaign County, Illinois",1946,73047,,415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,74,17,0,86,40,49,100,11,27
"Block Group 2, Census Tract 12.03, Champaign County, Illinois",1975,79219,,1675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202,3,154,278,151,486,321,33,47
"Block Group 3, Census Tract 106.01, Champaign County, Illinois",1984,81000,,513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,0,36,79,24,174,14,9,16
"Block Group 2, Census Tract 10, Champaign County, Illinois",,85667,,708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,115,49,150,145,88,116
"Block Group 4, Census Tract 109, Champaign County, Illinois",1956,88333,,576,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,153,72,54,122,25,64,75,0,0
"Block Group 6, Census Tract 107, Champaign County, Illinois",1974,89054,,1056,0,0,0,0,0,0,0,0,0,0,17,14,0,0,0,159,48,127,178,114,268,116,15,0
"Block Group 3, Census Tract 107, Champaign County, Illinois",1993,90061,,2185,4,0,0,0,0,0,0,0,0,0,0,0,33,0,1,505,0,81,566,240,466,248,10,31
"Block Group 3, Census Tract 57.01, Champaign County, Illinois",1969,93716,,679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,15,0,95,18,173,126,37,162
"Block Group 3, Census Tract 105, Champaign County, Illinois",1991,94333,,764,0,0,0,0,0,0,0,0,8,0,0,0,0,0,8,162,24,59,108,77,153,98,26,41
"Block Group 6, Census Tract 109, Champaign County, Illinois",1967,96563,,237,2,0,0,0,0,0,0,0,0,0,0,2,8,15,0,24,1,42,53,17,15,35,12,11
"Block Group 3, Census Tract 12.03, Champaign County, Illinois",1988,104352,,490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,40,178,88,42,132
"Block Group 2, Census Tract 13.01, Champaign County, Illinois",1972,120208,,583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,16,12,238,158,30,83
